Símbolo	Código Huffman	Frecuencia
0	0100	0.056137
255	0011	0.055492
254	11111	0.043714
1	11110	0.042535
253	11010	0.034197
2	11000	0.032966
252	00101	0.027942
3	00100	0.026659
251	00001	0.022992
4	00000	0.022123
250	111001	0.018642
5	110111	0.018473
6	011100	0.015483
249	011001	0.015401
7	000110	0.012939
248	000101	0.012549
8	1110110	0.010733
247	1110100	0.010144
9	1101101	0.008916
246	1100110	0.008361
10	0101000	0.007300
245	0001111	0.006758
11	0001001	0.006140
244	11101111	0.005664
12	11101011	0.005208
243	11100011	0.004853
13	11100000	0.004415
242	11001111	0.004279
14	01011011	0.003832
241	01010010	0.003736
240	00011101	0.003379
15	00011100	0.003296
239	00010001	0.003007
16	00010000	0.002962
238	111011101	0.002736
17	111011100	0.002701
237	111010101	0.002565
18	111010100	0.002508
236	111000101	0.002391
19	111000100	0.002378
235	111000011	0.002298
20	111000010	0.002228
234	110110011	0.002216
21	110110010	0.002176
22	110110001	0.002147
233	110110000	0.002146
23	110011101	0.002100
24	110011100	0.002080
230	110010111	0.002049
232	110010110	0.002033
229	110010101	0.002028
25	110010100	0.002017
31	110010011	0.002016
228	110010010	0.002006
226	110010001	0.002002
178	110010000	0.002000
90	101111111	0.002000
102	101111110	0.001999
192	101111101	0.001998
27	101111011	0.001998
151	101111100	0.001998
143	101111010	0.001998
231	101111001	0.001997
56	101111000	0.001996
26	101110111	0.001995
218	101110110	0.001991
33	101110101	0.001991
227	101110100	0.001991
95	101110010	0.001990
214	101110011	0.001990
78	101110001	0.001988
83	101101111	0.001986
200	101110000	0.001986
107	101101110	0.001985
197	101101101	0.001984
52	101101011	0.001984
206	101101100	0.001984
32	101101010	0.001984
130	101101001	0.001984
75	101101000	0.001983
65	101100111	0.001983
73	101100110	0.001982
161	101100101	0.001979
217	101100100	0.001978
91	101100011	0.001977
165	101100010	0.001977
128	101100001	0.001976
211	101100000	0.001975
193	101011111	0.001974
30	101011110	0.001974
93	101011101	0.001974
189	101011100	0.001973
186	101011011	0.001971
174	101011010	0.001971
204	101011001	0.001971
118	101011000	0.001970
100	101010111	0.001969
114	101010110	0.001969
99	101010101	0.001969
205	101010100	0.001969
51	101010011	0.001968
29	101010010	0.001967
89	101010000	0.001966
137	101010001	0.001966
160	101001111	0.001966
79	101001110	0.001966
80	101001101	0.001965
196	101001100	0.001965
147	101001011	0.001964
41	101001010	0.001964
180	101001001	0.001964
35	101001000	0.001962
176	101000111	0.001962
53	101000101	0.001961
183	101000110	0.001961
132	101000100	0.001961
124	101000011	0.001961
47	101000010	0.001960
155	101000001	0.001959
62	101000000	0.001959
199	100111111	0.001958
69	100111110	0.001958
190	100111101	0.001957
131	100111100	0.001957
85	100111011	0.001956
140	100111010	0.001956
164	100111001	0.001955
213	100110111	0.001955
225	100111000	0.001955
122	100110110	0.001955
166	100110101	0.001955
110	100110011	0.001955
156	100110100	0.001955
173	100110010	0.001955
82	100110001	0.001954
28	100110000	0.001953
159	100101111	0.001953
94	100101101	0.001953
220	100101110	0.001953
76	100101011	0.001953
119	100101100	0.001953
169	100101010	0.001952
60	100101001	0.001952
191	100101000	0.001952
105	100100100	0.001951
112	100100101	0.001951
139	100100110	0.001951
207	100100111	0.001951
224	100100011	0.001950
222	100100010	0.001950
163	100100000	0.001949
208	100100001	0.001949
109	100011110	0.001949
182	100011111	0.001949
149	100011101	0.001949
188	100011011	0.001948
216	100011100	0.001948
77	100011001	0.001948
101	100011010	0.001948
103	100010111	0.001946
106	100011000	0.001946
59	100010100	0.001946
121	100010101	0.001946
150	100010110	0.001946
185	100010011	0.001946
86	100010000	0.001946
92	100010001	0.001946
115	100010010	0.001946
162	100001111	0.001946
126	100001110	0.001945
184	100001101	0.001945
34	100001100	0.001944
201	100001011	0.001944
170	100001010	0.001944
138	100001001	0.001944
209	100001000	0.001943
167	100000111	0.001943
146	100000101	0.001943
168	100000110	0.001943
88	100000100	0.001942
67	100000011	0.001942
50	100000010	0.001942
70	100000001	0.001942
172	100000000	0.001941
177	011111111	0.001941
179	011111110	0.001941
43	011111100	0.001941
135	011111101	0.001941
38	011111011	0.001940
215	011111010	0.001940
57	011111000	0.001940
203	011111001	0.001940
97	011110111	0.001940
123	011110110	0.001940
61	011110101	0.001939
157	011110100	0.001939
195	011110011	0.001939
104	011110001	0.001938
153	011110010	0.001938
39	011101110	0.001938
46	011101111	0.001938
152	011110000	0.001938
81	011101101	0.001938
120	011101011	0.001937
187	011101100	0.001937
87	011101010	0.001937
158	011101001	0.001935
171	011101000	0.001935
55	011011111	0.001933
154	011011110	0.001933
37	011011101	0.001932
134	011011100	0.001932
58	011011010	0.001931
198	011011011	0.001931
54	011011001	0.001931
96	011010111	0.001931
181	011011000	0.001931
117	011010110	0.001929
129	011010101	0.001929
221	011010100	0.001928
175	011010011	0.001927
71	011010001	0.001927
141	011010010	0.001927
66	011010000	0.001927
136	011000111	0.001926
68	011000110	0.001926
148	011000101	0.001926
63	011000100	0.001924
144	011000011	0.001924
108	011000010	0.001923
98	011000001	0.001922
113	011000000	0.001922
210	010111111	0.001921
36	010111101	0.001920
40	010111110	0.001920
223	010111100	0.001919
125	010111011	0.001919
219	010111010	0.001918
212	010111001	0.001918
44	010111000	0.001917
145	010110101	0.001915
111	010110100	0.001915
133	010110011	0.001914
127	010110010	0.001912
42	010110001	0.001911
72	010110000	0.001911
84	010101111	0.001910
45	010101110	0.001910
116	010101101	0.001909
64	010101100	0.001906
74	010101011	0.001905
142	010101010	0.001905
49	010101001	0.001903
48	010100111	0.001896
194	010101000	0.001896
202	010100110	0.001888
