Símbolo	Probabilidad
1	0.907820
5	0.009754
9	0.009497
13	0.006160
17	0.004345
21	0.004091
25	0.003167
29	0.002446
33	0.002093
37	0.001851
41	0.001688
45	0.001625
49	0.001566
53	0.001288
57	0.001143
61	0.001060
2	0.001048
69	0.000954
4	0.000936
65	0.000924
73	0.000889
77	0.000835
81	0.000794
85	0.000692
89	0.000609
93	0.000562
97	0.000558
105	0.000514
101	0.000513
109	0.000458
113	0.000424
121	0.000419
133	0.000395
125	0.000395
117	0.000392
137	0.000368
145	0.000365
129	0.000347
8	0.000344
141	0.000333
153	0.000333
169	0.000323
149	0.000316
177	0.000303
161	0.000301
181	0.000301
173	0.000300
165	0.000297
157	0.000282
12	0.000268
185	0.000268
193	0.000261
213	0.000257
189	0.000256
197	0.000252
209	0.000240
201	0.000240
6	0.000238
10	0.000238
16	0.000229
225	0.000213
205	0.000209
229	0.000209
221	0.000206
20	0.000203
217	0.000202
18	0.000199
241	0.000195
245	0.000191
237	0.000191
253	0.000190
22	0.000189
257	0.000186
14	0.000185
38	0.000185
233	0.000178
265	0.000177
34	0.000173
24	0.000173
32	0.000173
273	0.000169
249	0.000169
289	0.000167
269	0.000166
261	0.000161
44	0.000159
36	0.000158
277	0.000157
26	0.000153
56	0.000153
60	0.000153
50	0.000147
28	0.000146
281	0.000146
285	0.000146
48	0.000145
305	0.000143
54	0.000143
297	0.000139
30	0.000137
293	0.000137
46	0.000134
313	0.000134
40	0.000133
301	0.000130
329	0.000130
309	0.000130
64	0.000124
337	0.000123
42	0.000122
317	0.000120
52	0.000116
333	0.000116
62	0.000115
365	0.000115
349	0.000115
325	0.000114
353	0.000112
84	0.000107
70	0.000107
80	0.000106
68	0.000103
58	0.000102
72	0.000099
74	0.000098
341	0.000098
321	0.000096
82	0.000096
124	0.000095
98	0.000095
76	0.000095
128	0.000091
361	0.000091
90	0.000090
100	0.000088
377	0.000088
345	0.000087
88	0.000086
78	0.000086
96	0.000086
142	0.000084
385	0.000084
357	0.000084
86	0.000083
102	0.000083
122	0.000080
118	0.000079
116	0.000079
114	0.000079
66	0.000079
369	0.000079
373	0.000076
134	0.000076
92	0.000076
94	0.000075
120	0.000074
112	0.000074
401	0.000072
108	0.000072
104	0.000072
146	0.000071
389	0.000070
106	0.000068
178	0.000068
156	0.000068
126	0.000068
381	0.000068
393	0.000068
150	0.000067
421	0.000067
164	0.000067
176	0.000066
110	0.000064
132	0.000064
409	0.000064
170	0.000063
144	0.000063
405	0.000062
236	0.000062
433	0.000062
158	0.000060
174	0.000060
138	0.000060
182	0.000060
425	0.000059
136	0.000059
166	0.000059
140	0.000058
162	0.000056
413	0.000056
172	0.000054
220	0.000054
184	0.000054
429	0.000052
194	0.000052
196	0.000052
160	0.000052
186	0.000052
148	0.000052
212	0.000052
397	0.000051
206	0.000050
417	0.000050
465	0.000050
154	0.000050
180	0.000048
441	0.000048
445	0.000048
457	0.000047
188	0.000046
222	0.000046
204	0.000046
449	0.000046
437	0.000046
190	0.000046
168	0.000046
192	0.000046
453	0.000044
481	0.000044
130	0.000043
224	0.000043
473	0.000041
513	0.000041
152	0.000041
461	0.000041
252	0.000040
198	0.000040
3	0.000040
232	0.000039
489	0.000039
501	0.000037
292	0.000037
493	0.000037
244	0.000036
228	0.000036
521	0.000036
200	0.000036
218	0.000036
260	0.000036
477	0.000035
216	0.000035
469	0.000035
264	0.000033
210	0.000033
230	0.000033
202	0.000033
541	0.000033
256	0.000033
268	0.000033
577	0.000033
258	0.000032
505	0.000032
240	0.000032
246	0.000032
248	0.000032
208	0.000032
537	0.000032
517	0.000032
238	0.000031
262	0.000031
549	0.000031
254	0.000031
250	0.000029
497	0.000029
553	0.000029
274	0.000029
276	0.000029
214	0.000029
286	0.000028
525	0.000028
282	0.000028
226	0.000028
242	0.000027
270	0.000027
585	0.000027
569	0.000027
298	0.000027
561	0.000027
545	0.000027
272	0.000025
485	0.000025
617	0.000024
266	0.000024
509	0.000024
234	0.000024
304	0.000024
288	0.000024
605	0.000024
278	0.000024
633	0.000024
310	0.000024
294	0.000024
332	0.000024
533	0.000024
557	0.000024
601	0.000023
306	0.000023
280	0.000023
326	0.000023
300	0.000023
334	0.000023
302	0.000023
370	0.000023
290	0.000023
573	0.000023
356	0.000023
352	0.000023
593	0.000023
320	0.000021
318	0.000021
338	0.000021
529	0.000021
340	0.000021
308	0.000020
324	0.000020
589	0.000020
565	0.000020
314	0.000019
376	0.000019
342	0.000019
669	0.000019
316	0.000019
422	0.000017
645	0.000017
344	0.000017
380	0.000017
284	0.000017
432	0.000016
769	0.000016
408	0.000016
613	0.000016
388	0.000016
350	0.000016
368	0.000016
641	0.000016
330	0.000016
621	0.000016
406	0.000016
733	0.000016
609	0.000015
312	0.000015
336	0.000015
384	0.000015
448	0.000015
346	0.000015
328	0.000015
322	0.000015
436	0.000015
374	0.000013
637	0.000013
424	0.000013
296	0.000013
372	0.000013
366	0.000013
364	0.000013
625	0.000013
480	0.000012
434	0.000012
378	0.000012
386	0.000012
677	0.000012
581	0.000012
382	0.000011
629	0.000011
649	0.000011
661	0.000011
721	0.000011
394	0.000011
705	0.000011
402	0.000011
701	0.000011
438	0.000011
653	0.000011
360	0.000011
486	0.000011
689	0.000011
478	0.000011
600	0.000009
665	0.000009
446	0.000009
420	0.000009
400	0.000009
354	0.000009
428	0.000009
737	0.000009
542	0.000009
444	0.000009
496	0.000009
348	0.000009
442	0.000009
396	0.000009
596	0.000009
597	0.000009
610	0.000008
552	0.000008
398	0.000008
494	0.000008
462	0.000008
729	0.000008
392	0.000008
709	0.000008
528	0.000008
390	0.000008
657	0.000008
717	0.000008
416	0.000008
765	0.000008
498	0.000007
512	0.000007
668	0.000007
